key,press_time,event,flight_time,dwell_time,release_time
'd',1741485365.3657138,press,0.1086268424987793,0.06362438201904297,
'd',,release,,,1741485365.4293382
'k',1741485365.436906,press,0.07119226455688477,0.09311103820800781,
'k',,release,,,1741485365.5300171
Key.space,1741485365.573071,press,0.13616490364074707,0.07604098320007324,
Key.space,,release,,,1741485365.649112
'h',1741485365.923847,press,0.35077595710754395,0.07999110221862793,
'o',1741485365.9796438,press,0.05579686164855957,0.09500908851623535,
'h',,release,,,1741485366.003838
'w',1741485366.0671282,press,0.08748435974121094,0.07217288017272949,
'o',,release,,,1741485366.074653
'w',,release,,,1741485366.139301
Key.space,1741485366.1646478,press,0.0975196361541748,0.08466529846191406,
Key.space,,release,,,1741485366.249313
't',1741485366.326122,press,0.16147422790527344,0.09280776977539062,
'h',1741485366.382278,press,0.05615592002868652,0.12853693962097168,
't',,release,,,1741485366.4189298
'i',1741485366.458393,press,0.07611513137817383,0.1035757064819336,
'h',,release,,,1741485366.510815
's',1741485366.5501802,press,0.09178709983825684,0.07995796203613281,
'i',,release,,,1741485366.5619688
Key.space,1741485366.590701,press,0.04052090644836426,0.07208085060119629,
's',,release,,,1741485366.6301382
Key.space,,release,,,1741485366.662782
'w',1741485366.829967,press,0.23926591873168945,0.06690382957458496,
'i',1741485366.877891,press,0.047924041748046875,0.11224508285522461,
'w',,release,,,1741485366.8968709
'l',1741485366.9539368,press,0.07604575157165527,0.04733014106750488,
'i',,release,,,1741485366.9901361
'l',,release,,,1741485367.001267
'l',1741485367.086119,press,0.13218212127685547,0.09862303733825684,
Key.space,1741485367.169918,press,0.08379912376403809,0.09538507461547852,
'l',,release,,,1741485367.184742
'f',1741485367.249239,press,0.07932090759277344,0.061434030532836914,
Key.space,,release,,,1741485367.2653031
'f',,release,,,1741485367.310673
'o',1741485367.3442008,press,0.09496188163757324,0.09560298919677734,
'r',1741485367.4246469,press,0.08044600486755371,0.08480310440063477,
'o',,release,,,1741485367.4398038
'r',,release,,,1741485367.50945
'm',1741485367.519985,press,0.09533810615539551,0.09346604347229004,
'm',,release,,,1741485367.613451
'a',1741485367.635307,press,0.11532211303710938,0.11825990676879883,
't',1741485367.71211,press,0.07680296897888184,0.09992289543151855,
'a',,release,,,1741485367.753567
't',,release,,,1741485367.812033
Key.esc,1741485368.4217641,press,0.7096540927886963,0.06328868865966797,
Key.esc,,release,,,1741485368.4850528
